array_type,algorithm,size,time_ms
random,merge,500,0
array_type,algorithm,size,time_ms
random,hybrid,500,0
array_type,algorithm,size,time_ms
reversed,merge,500,0
array_type,algorithm,size,time_ms
reversed,hybrid,500,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,500,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,500,0
array_type,algorithm,size,time_ms
random,merge,600,0
array_type,algorithm,size,time_ms
random,hybrid,600,0
array_type,algorithm,size,time_ms
reversed,merge,600,0
array_type,algorithm,size,time_ms
reversed,hybrid,600,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,600,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,600,0
array_type,algorithm,size,time_ms
random,merge,700,0
array_type,algorithm,size,time_ms
random,hybrid,700,0
array_type,algorithm,size,time_ms
reversed,merge,700,0
array_type,algorithm,size,time_ms
reversed,hybrid,700,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,700,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,700,0
array_type,algorithm,size,time_ms
random,merge,800,0
array_type,algorithm,size,time_ms
random,hybrid,800,0
array_type,algorithm,size,time_ms
reversed,merge,800,0
array_type,algorithm,size,time_ms
reversed,hybrid,800,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,800,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,800,0
array_type,algorithm,size,time_ms
random,merge,900,0
array_type,algorithm,size,time_ms
random,hybrid,900,0
array_type,algorithm,size,time_ms
reversed,merge,900,0
array_type,algorithm,size,time_ms
reversed,hybrid,900,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,900,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,900,0
array_type,algorithm,size,time_ms
random,merge,1000,0
array_type,algorithm,size,time_ms
random,hybrid,1000,0
array_type,algorithm,size,time_ms
reversed,merge,1000,0
array_type,algorithm,size,time_ms
reversed,hybrid,1000,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,1000,0
array_type,algorithm,size,time_ms
nearly_sorted,hybrid,1000,0
array_type,algorithm,size,time_ms
random,merge,1100,0
array_type,algorithm,size,time_ms
random,hybrid,1100,0
array_type,algorithm,size,time_ms
reversed,merge,1100,0
array_type,algorithm,size,time_ms
reversed,hybrid,1100,0
array_type,algorithm,size,time_ms
nearly_sorted,merge,1100,0
